Percentile,All Majors,General Agriculture,Agricultural Economics,Animal Sciences,Environment and Natural Resources,Architecture,"Area, Ethnic, and Civilization Studies",Communications,Journalism,Mass Media,Advertising and Public Relations,Communication Technologies,Computer Science,General Education,Elementary Education,Math and Science Teacher Education,Physical and Health Education Teaching,Early Childhood Education,Secondary Teacher Education,Special Needs Education,Social Science or History Teacher Education,Language and Drama Education,Art and Music Education,General Engineering,Aerospace Engineering,"Biological, Biomedical, and Environmental Engineering",Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Industrial and Manufacturing Engineering,Mechanical Engineering,Energy and Extraction Engineering,Engineering Technologies,Linguistics and Foreign Languages,Family and Consumer Sciences,English Language and Literature,Composition and Speech,Liberal Arts,Biology,Biochemistry and Molecular Biology,"Botany, Ecology, and Zoology","Microbiology, Physiology, Genetics, and Neuroscience",Mathematics and Statistics,Intercultural and International Studies,"Physical Fitness, Nutrition, and Sports Studies",Philosophy and Religious Studies,Theology and Religious Vocations,Earth and Other Physical Sciences,Chemistry,Physics,Multidisciplinary Science,Psychology,Criminology and Criminal Justice,Public Administration and Policy,Social Work,Economics,Anthropology and Archeology,Geography,International Relations,Political Science and Government,Sociology,Construction Services,Production and Transportation Technologies,Fine and Studio Arts,Drama and Theater Arts,Music,Commercial Art and Graphic Design,"Film, Video and Photographic Arts",Art History and Criticism,Health and Medical Administration,Medical Technologies and Assistance,Nursing,Treatment Therapy Professions,Accounting and Actuarial Science,Business Management and Administration,Operations and Logistics,International Business and Business Economics,Marketing and Marketing Research,Finance,Human Resources and Personnel Management,Hospitality Management,History,Some High School,High School Degree or GED,"Some College, No Degree",Associates Degree
47,1276712,1140794,1258460,1136598,1181436,1325883,1190347,1124772,1128639,1030177,1140004,1076176,1718430,1054158,986244,1138426,1075544,878126,1099757,1103771,1112043,1073303,1009287,1830062,2207740,1760338,2188717,1847552,2081653,2132188,1874988,2029375,2116638,1492321,1108113,882926,1107293,982694,1030046,1579464,1960343,1340244,1602257,1606217,1145477,1057405,1148608,853387,1489136,1808791,1947385,1305166,1109205,1182817,1159165,930984,1764705,1077582,1239417,1549238,1557563,1074269,1582893,1476659,834189,870800,914034,928629,973340,1008115,1242762,1187165,1393923,1275807,1488344,1288334,1663213,1362569,1284065,1635376,1224554,1056327,1280278,383799,553786,682257,818972
48,1297834,1152627,1284000,1159123,1199115,1350965,1220096,1143090,1150780,1047390,1161302,1098598,1742174,1066347,997573,1151445,1093145,893641,1115295,1115905,1125956,1085591,1022529,1860325,2217530,1783608,2208342,1865205,2098616,2146185,1897273,2047621,2144650,1514705,1126516,900867,1125886,1003832,1051626,1609181,1990195,1365037,1626571,1634656,1160729,1076130,1172863,865124,1513348,1837706,1970817,1333397,1128421,1195774,1177057,946810,1799172,1096942,1254997,1584936,1586695,1093031,1607030,1498708,848581,890028,930459,944248,992881,1024916,1262848,1204975,1412118,1295125,1516978,1308115,1682343,1384712,1302697,1666541,1242318,1070175,1299312,391387,564159,692315,829532
49,1319799,1169023,1307868,1180848,1219361,1370954,1240438,1164114,1169988,1066565,1177056,1131163,1769381,1078573,1010551,1158846,1106199,905212,1124970,1125318,1138514,1099148,1033866,1881258,2232871,1802185,2234766,1887556,2118290,2162423,1924314,2069761,2164040,1534107,1146226,916314,1146155,1024532,1067009,1640824,2021179,1396603,1657864,1661073,1185404,1088369,1190375,878489,1532838,1867379,1991362,1362540,1148042,1215068,1198888,959538,1828616,1112038,1268132,1611257,1616326,1107760,1617559,1517130,866113,903865,947303,962205,1008438,1042833,1278970,1225659,1426092,1318993,1539853,1330738,1702261,1408699,1325077,1697675,1257311,1089526,1320627,397834,573017,704884,840357
50,1342678,1190067,1325232,1196946,1238260,1394153,1268393,1186001,1189234,1080856,1196130,1144427,1794584,1089937,1023887,1174709,1122607,916672,1136794,1138557,1154739,1116317,1045442,1901969,2255377,1838662,2261072,1907558,2140754,2183367,1947253,2085405,2190819,1552313,1162124,928740,1166968,1039543,1082004,1674394,2057202,1426240,1686634,1689595,1205892,1103822,1219518,894370,1552082,1893146,2024460,1383831,1166075,1229453,1221289,971281,1859196,1125027,1283775,1649127,1642174,1123759,1637537,1533709,886648,919476,964768,983196,1028852,1063595,1301735,1244865,1443145,1335688,1565111,1354078,1724663,1437964,1349528,1724707,1279067,1108590,1346494,404696,582760,717217,855330
51,1364672,1214905,1353458,1218715,1255311,1414541,1297829,1206693,1211818,1100709,1224437,1158854,1819182,1101735,1035741,1184924,1133649,928400,1150726,1151924,1166359,1132062,1060095,1929306,2275707,1860829,2291743,1929948,2161887,2202599,1974703,2104895,2223721,1581903,1182139,942647,1187620,1058638,1100763,1707378,2090269,1451501,1713863,1714318,1231104,1120209,1242104,906799,1584467,1921051,2059618,1412349,1184167,1246260,1245612,982209,1900590,1147837,1304576,1678307,1672584,1139300,1658253,1549484,902189,931192,980788,998366,1043489,1077156,1320458,1260836,1459190,1355964,1591569,1376169,1752030,1459874,1373765,1753115,1296267,1128563,1373803,411788,590701,729831,868324
52,1391096,1233387,1374848,1245365,1273500,1440562,1324534,1230483,1233703,1117804,1245604,1178049,1842864,1112977,1045157,1198383,1146531,938661,1163196,1162435,1178763,1143190,1073797,1959250,2292477,1891605,2316087,1948534,2180504,2223850,1997703,2121526,2247946,1605877,1200377,959676,1208211,1068042,1118405,1747242,2126823,1478477,1744582,1737857,1250782,1132732,1264615,925266,1605990,1953609,2083693,1439093,1201391,1267056,1268606,994864,1931360,1166703,1326936,1715723,1709875,1155539,1684346,1575647,915867,947007,995320,1018039,1062229,1093479,1339935,1273562,1476120,1371219,1618605,1400407,1768440,1485662,1397939,1781022,1320952,1141355,1403081,419380,601864,742114,881453
53,1415281,1250724,1395009,1261223,1288460,1460420,1344660,1252316,1253283,1132452,1268147,1205744,1867450,1125119,1055352,1213164,1158232,951623,1174119,1176883,1196318,1158960,1087812,1983890,2324973,1908173,2341621,1965957,2199630,2249566,2019423,2145461,2273845,1627927,1219421,974794,1230111,1093956,1137699,1775811,2167206,1503999,1772972,1771932,1263106,1149760,1289165,938161,1634748,1988871,2106851,1466158,1223556,1289010,1291854,1007748,1970903,1190156,1347410,1733663,1745075,1173911,1704286,1597036,935451,966636,1014248,1034809,1077336,1111470,1363934,1292278,1490390,1387622,1640108,1427331,1791714,1512405,1423268,1813919,1341855,1155392,1428693,427189,612548,755935,895087
54,1438808,1269299,1412848,1281153,1303546,1480984,1374242,1272917,1270920,1146985,1291097,1221678,1893362,1136736,1066902,1225480,1171875,963898,1188853,1184109,1211883,1168334,1104310,2003515,2350091,1926370,2365727,1983804,2226466,2270702,2041584,2162699,2300640,1646214,1235146,988956,1253841,1110521,1160466,1809187,2209126,1535970,1806520,1800196,1287050,1167425,1310693,951010,1660232,2016236,2135756,1488185,1242326,1306034,1312604,1016468,2007317,1204011,1365371,1773149,1775012,1188455,1722490,1616502,953358,984270,1026182,1047884,1101773,1137203,1386217,1307065,1509358,1407397,1665882,1447894,1819018,1541829,1443835,1842362,1364692,1174753,1452147,434707,622745,767625,911050
55,1462228,1287698,1429997,1300931,1320236,1495772,1395805,1294346,1291381,1166498,1309834,1239916,1916463,1150343,1079811,1242571,1186780,974259,1203375,1199218,1233778,1184837,1119065,2022617,2375144,1974060,2387384,2000522,2245212,2291440,2064266,2182074,2334067,1670018,1257061,1008867,1274026,1124474,1177066,1845148,2245916,1562010,1830874,1832299,1311777,1185311,1329788,965538,1695033,2049408,2162254,1513389,1262699,1323399,1334218,1031914,2031823,1227497,1382900,1815412,1812863,1206703,1749003,1644893,970085,998884,1043039,1063364,1126396,1157664,1408787,1323688,1524053,1424156,1690202,1469677,1846358,1564770,1472247,1879842,1383348,1201566,1481329,442451,635012,779766,925121
56,1484608,1308653,1449262,1328665,1337133,1514770,1412201,1313242,1313857,1185009,1338562,1254435,1943811,1163198,1092966,1256385,1200435,989367,1214654,1213239,1251135,1200113,1132325,2057386,2394979,1992113,2408466,2020726,2264415,2312296,2087932,2202245,2356586,1692042,1275618,1022966,1294691,1148556,1196841,1873106,2290795,1593959,1866332,1863324,1329280,1208244,1356644,976622,1719022,2081167,2192319,1533088,1280173,1344946,1349658,1044185,2069282,1247147,1399723,1851704,1844501,1227054,1772881,1673458,983370,1014116,1056847,1080252,1148722,1176845,1420130,1338329,1540394,1442807,1719925,1492268,1873817,1594476,1494687,1915526,1400466,1216727,1505782,450608,647038,790190,940059
57,1508286,1327874,1476932,1347886,1351832,1534129,1448061,1332524,1335570,1205722,1358875,1263604,1968037,1175627,1103886,1268607,1219777,1003785,1232604,1226261,1265993,1214637,1146527,2079937,2413127,2014385,2434676,2041342,2281864,2338896,2110487,2221835,2384639,1706971,1299398,1036656,1316856,1175193,1214070,1906814,2340480,1620999,1888101,1887097,1360692,1227637,1381720,992432,1745940,2116728,2223121,1559665,1302268,1365528,1376125,1059106,2102462,1269247,1420430,1882837,1879810,1242652,1791694,1702673,1004247,1029847,1076318,1099743,1164309,1196033,1446567,1353028,1558710,1464152,1743718,1514819,1894856,1618488,1522599,1954710,1418035,1232778,1530844,459784,658822,801773,952699
58,1536068,1357231,1499456,1376481,1372123,1553652,1482513,1355211,1357090,1225921,1380945,1293245,1994653,1190090,1112655,1281793,1229830,1014579,1245895,1236082,1281294,1227289,1156539,2108035,2433979,2046739,2464639,2063819,2310109,2365969,2128926,2244772,2412171,1732422,1321270,1053325,1337086,1192183,1235017,1942460,2380608,1646659,1940143,1912495,1378139,1243632,1411588,1006006,1769021,2146648,2250946,1588617,1324790,1381237,1396497,1072487,2134237,1293545,1441489,1928559,1912469,1265984,1817726,1726495,1024564,1041809,1092649,1117175,1182069,1221266,1463724,1370571,1578029,1484775,1768105,1537928,1910978,1644279,1547131,1991260,1442749,1248945,1558928,467374,670184,813674,968835
59,1560113,1375488,1527991,1399689,1390963,1572528,1509615,1381988,1380000,1247075,1401966,1314965,2017640,1202922,1123178,1299595,1249736,1028309,1260152,1246019,1291570,1239668,1169832,2130850,2461600,2075824,2493990,2083217,2333813,2388327,2149117,2262934,2437483,1755610,1341875,1068389,1359681,1217539,1255545,1981877,2422918,1676510,1983516,1943709,1391348,1258295,1436911,1020438,1798778,2178039,2278106,1610071,1344425,1402658,1422816,1084381,2172367,1314645,1464670,1957508,1940583,1283996,1849476,1748437,1041082,1057490,1111921,1135084,1210063,1239629,1480842,1383763,1592586,1504268,1797717,1564496,1932166,1671655,1574262,2022814,1467257,1273684,1589732,475470,679931,828484,983491
60,1587894,1398277,1551449,1422814,1410008,1593150,1535413,1405809,1404900,1264524,1421145,1329587,2041096,1217518,1136359,1314181,1265289,1037091,1272255,1253885,1304973,1254102,1183280,2151883,2481659,2100815,2522249,2104155,2358204,2414483,2175598,2284429,2468434,1777416,1361574,1087733,1378214,1232988,1283317,2017999,2480546,1710435,2019354,1967637,1421646,1275103,1463037,1032836,1828051,2220862,2310712,1636851,1366639,1422767,1445157,1096863,2224341,1335437,1485924,1992359,1977714,1305584,1873820,1774917,1058603,1075745,1131286,1155567,1228263,1260148,1504661,1399504,1607086,1525026,1826300,1591494,1953607,1695272,1604418,2042987,1488977,1295867,1618675,483764,691219,842134,997811
61,1613329,1421878,1567603,1444354,1428001,1616409,1566667,1430109,1420194,1283273,1443010,1349355,2065237,1232773,1146561,1328129,1282679,1047429,1286211,1268567,1323060,1265854,1195530,2170495,2500465,2128766,2556741,2124347,2389341,2442548,2201608,2303066,2500273,1801654,1385482,1107686,1403745,1260540,1306963,2057442,2543409,1747044,2064611,1995175,1440405,1294832,1495238,1047353,1852059,2257721,2339037,1664911,1394637,1445121,1468400,1107406,2272865,1362582,1502841,2037692,2009190,1324787,1912111,1801274,1077958,1095252,1150728,1176304,1246642,1277697,1529856,1417497,1626558,1544679,1856056,1616066,1982839,1720445,1631670,2073254,1511465,1312445,1643463,491796,702882,857105,1013039
62,1641252,1445033,1599131,1462223,1449875,1639092,1591387,1453156,1442510,1304188,1476295,1371799,2087532,1244727,1157172,1343369,1300821,1060798,1297272,1280408,1338096,1277033,1208022,2185458,2520753,2156624,2594030,2144207,2417827,2466114,2228253,2327192,2536256,1823184,1411957,1120385,1426909,1279800,1333464,2096031,2608133,1773638,2086401,2026997,1461521,1311952,1519852,1061283,1875087,2305086,2370839,1698187,1414486,1465748,1498074,1122775,2307385,1386874,1528687,2065667,2041109,1346797,1944304,1824199,1096530,1111883,1178330,1200732,1267271,1308107,1548404,1441178,1638887,1561183,1887098,1639613,1996572,1753231,1660868,2107812,1529353,1339120,1677198,500382,716328,871332,1025137
63,1668289,1470135,1626239,1495965,1469956,1660188,1628287,1479282,1462496,1328245,1498755,1406693,2110635,1259331,1170343,1356952,1315369,1076524,1307748,1292996,1352264,1292499,1220824,2205003,2545610,2195917,2623235,2166036,2451490,2490992,2251151,2354979,2555596,1844263,1432130,1136989,1448925,1296049,1350892,2141017,2658385,1806330,2118372,2051848,1486484,1331074,1557155,1079722,1913225,2343326,2402029,1728454,1437348,1489282,1525286,1138017,2345805,1411193,1551891,2117154,2080202,1366465,1959584,1848157,1117127,1130709,1197396,1220101,1291515,1323929,1571247,1459326,1655981,1575702,1918389,1663936,2017233,1783232,1687655,2133447,1553118,1359624,1710364,508275,727125,885003,1036207
64,1698625,1491205,1644332,1518554,1495851,1683383,1661169,1500522,1489062,1350632,1518891,1422244,2132668,1272374,1181249,1366463,1328700,1094133,1319419,1305265,1365820,1302866,1235549,2227347,2572244,2219238,2657181,2183300,2475620,2519436,2280143,2382982,2583682,1873094,1455430,1154414,1472529,1318769,1374683,2191036,2705678,1843814,2150274,2085481,1509416,1354096,1588522,1098471,1941044,2387418,2436681,1766826,1464581,1509013,1554252,1149731,2398893,1434167,1572784,2157541,2110800,1387085,1998443,1881850,1138387,1147305,1219195,1249769,1311086,1362621,1601017,1479466,1674242,1598284,1956931,1694757,2038412,1809412,1719722,2171099,1582362,1381980,1742766,518334,739446,902623,1053875
65,1726073,1509404,1666512,1541230,1513004,1710613,1698237,1526602,1510419,1366439,1544492,1450708,2154305,1289295,1192521,1384038,1345212,1107891,1334471,1319398,1386117,1317832,1257524,2249334,2602604,2240584,2692615,2204137,2509759,2539707,2299569,2408914,2615705,1904216,1481041,1176229,1495783,1328054,1393760,2233150,2764739,1885689,2207702,2109257,1540495,1372877,1616803,1112429,1963714,2431174,2475664,1791075,1489142,1531690,1578368,1160471,2441197,1451585,1590587,2206208,2141420,1411727,2037967,1905368,1156760,1169549,1238152,1270528,1335769,1386578,1623951,1497561,1691101,1615657,1985800,1721759,2060047,1846456,1748803,2203594,1605429,1404288,1778605,527708,752799,917740,1070950
66,1755380,1534514,1703037,1566567,1537729,1737358,1727261,1552941,1535656,1385622,1562023,1490353,2175824,1303659,1205027,1400103,1363916,1123623,1349793,1336224,1405523,1328856,1271977,2270244,2624210,2284288,2733240,2229509,2534901,2565394,2325684,2430775,2650858,1928632,1507594,1190696,1521141,1349751,1418708,2281929,2825810,1923872,2249105,2143843,1574574,1394450,1647246,1123543,1990361,2479707,2516130,1825304,1509357,1556422,1605100,1172939,2482104,1476483,1621335,2243976,2182155,1437990,2057378,1930662,1177215,1195316,1256396,1299263,1352879,1411633,1650925,1520466,1709800,1635602,2017761,1754748,2083836,1881347,1776426,2239799,1626896,1423753,1806522,538177,766088,932607,1084951
67,1787091,1557102,1732130,1611596,1557617,1765552,1763025,1578464,1566341,1406609,1594154,1526030,2201789,1320598,1218823,1417948,1375735,1138933,1360222,1348264,1427773,1341287,1287986,2300427,2638644,2348186,2761867,2255304,2572585,2588072,2346687,2456482,2677752,1954836,1534021,1211406,1547194,1371795,1441151,2339007,2905497,1959780,2289734,2176335,1617374,1413688,1680674,1140040,2018548,2526430,2550753,1862065,1539442,1577278,1633318,1187366,2539940,1506349,1652385,2282209,2223707,1462342,2090970,1956780,1199943,1219873,1281618,1316690,1380566,1429874,1674628,1541060,1730177,1652979,2051937,1786007,2103131,1911887,1816392,2281370,1650476,1453193,1845151,547399,777289,948396,1103496
68,1820334,1588354,1756358,1644725,1577059,1792419,1806133,1603458,1591822,1436102,1622000,1547518,2227583,1337061,1231483,1432404,1393127,1150661,1378403,1365761,1451984,1357270,1299632,2323750,2662333,2378418,2799589,2279547,2613206,2615379,2374244,2480832,2706226,1981760,1560136,1229198,1577733,1396962,1460962,2383813,2984274,2016303,2331374,2207362,1647747,1430939,1719024,1159336,2041782,2575233,2579375,1891067,1564791,1603522,1659826,1203319,2591694,1530443,1671392,2330795,2270667,1484111,2119699,1990130,1224680,1244712,1301289,1339369,1412381,1465784,1695125,1564998,1746346,1676016,2083706,1820101,2128804,1943937,1847867,2326181,1676223,1474477,1877977,559189,788950,962002,1117940
69,1851856,1602877,1786620,1673385,1598272,1812002,1833387,1632520,1618304,1458208,1666116,1567797,2255573,1353659,1244281,1448196,1412949,1168661,1395144,1381937,1468629,1376034,1311560,2369608,2685918,2404906,2839876,2307820,2644738,2650621,2407203,2513600,2739193,2006266,1588489,1246671,1602308,1427437,1485539,2447831,3038494,2064775,2369884,2244103,1669823,1455133,1756653,1174659,2068806,2620058,2629926,1924853,1590894,1626952,1686065,1217148,2664707,1557329,1695015,2377292,2314516,1509193,2148345,2016966,1245792,1268564,1324853,1358192,1431087,1492179,1718968,1593118,1765467,1694955,2115367,1851283,2157320,1984185,1881233,2369858,1697484,1494350,1912432,569087,800833,977650,1136856
70,1888858,1628069,1819208,1710898,1623080,1839091,1869078,1662027,1651227,1482264,1692419,1591476,2280286,1368787,1258229,1464599,1424872,1177993,1409219,1391164,1492832,1387194,1326099,2403424,2712975,2435610,2873494,2337189,2674591,2678020,2437663,2540253,2779789,2039286,1612876,1271728,1627633,1459108,1516724,2520381,3111169,2115923,2427633,2273085,1696322,1477156,1791321,1183343,2097607,2674110,2662599,1951531,1615886,1650025,1707987,1233459,2733061,1588943,1720029,2411518,2357711,1532744,2170518,2052393,1269020,1291845,1354701,1377900,1454024,1532640,1745964,1613791,1784474,1716457,2148442,1884321,2182395,2012902,1918050,2419703,1730439,1520324,1946671,580716,815606,991926,1157586
71,1926744,1652064,1850639,1751391,1648901,1860410,1902683,1694007,1679080,1508441,1727224,1626547,2307951,1386953,1272799,1481922,1436942,1198041,1424086,1410908,1506088,1398254,1337778,2434022,2738517,2469584,2907482,2367073,2706726,2707632,2475664,2571943,2826668,2064894,1645306,1289038,1655405,1479288,1543264,2581468,3244284,2167183,2480595,2315688,1750529,1502507,1835436,1202503,2134333,2725598,2702231,1983446,1647301,1673604,1749378,1252460,2799156,1617923,1734795,2451733,2406218,1561465,2198452,2088696,1286979,1315756,1378034,1405668,1471886,1563687,1781382,1634534,1801632,1737629,2182895,1922207,2202919,2052561,1950648,2464170,1768148,1546226,1981918,591345,829079,1008700,1175252
72,1961846,1679706,1885255,1774552,1679518,1876956,1935516,1728495,1714156,1529087,1766094,1648147,2335091,1403499,1285961,1494270,1458493,1210536,1438238,1425550,1528782,1418530,1354336,2471352,2771967,2512868,2940489,2391921,2737168,2738667,2521166,2598631,2870357,2091230,1679167,1315821,1687660,1504575,1568800,2662952,3317170,2226791,2546710,2350669,1792052,1530304,1889516,1223035,2171653,2787302,2735218,2013354,1677379,1697309,1783148,1268374,2861619,1649298,1765052,2504201,2460621,1587621,2243483,2122277,1308580,1340830,1398642,1433915,1505051,1591210,1816690,1657704,1822396,1756359,2221369,1954343,2229016,2092990,1988996,2514212,1798910,1570340,2020289,600176,844594,1024685,1193715
73,1998072,1716308,1922790,1808917,1706520,1900957,1967754,1758960,1750327,1561347,1791579,1675537,2368339,1421631,1301678,1515229,1476234,1223394,1456623,1438058,1551390,1434926,1369363,2511864,2795065,2565377,2986893,2424708,2762987,2768463,2553393,2628951,2919305,2112085,1708506,1341431,1722064,1538932,1594369,2739052,3421100,2290651,2608987,2391544,1846615,1555817,1928699,1246626,2203737,2846429,2774580,2053720,1707276,1728707,1812498,1286747,2928985,1685287,1794946,2555972,2508358,1612213,2275358,2162998,1336525,1362846,1421256,1463040,1547989,1613517,1843826,1689649,1842727,1778981,2262523,1993051,2253310,2126832,2025848,2573434,1831756,1601774,2059056,610445,859598,1045065,1212679
74,2031069,1746658,1965023,1850275,1737665,1929062,2020043,1788870,1784255,1592393,1821744,1694772,2397899,1438261,1317170,1529092,1496648,1235146,1472664,1455765,1570376,1454318,1388699,2552215,2833892,2613837,3019393,2461343,2810256,2812991,2604714,2666060,2954973,2146691,1743126,1363877,1756704,1577496,1625732,2814536,3535513,2349011,2655934,2437034,1875275,1584175,1984311,1265767,2233597,2926586,2819445,2089184,1741305,1753695,1837813,1302752,3002653,1718758,1829603,2593344,2559095,1641869,2315536,2208213,1366784,1397030,1457153,1488034,1585053,1650329,1873318,1713321,1867283,1801757,2303098,2024690,2281844,2171769,2055836,2627321,1855994,1637297,2107046,621921,876879,1064629,1226993
75,2065057,1784713,1996101,1908188,1761632,1953060,2079620,1825724,1814270,1636922,1855320,1730753,2437408,1457886,1333094,1550118,1511760,1252112,1493269,1469232,1589700,1473009,1411222,2588041,2873296,2671083,3062020,2491484,2860226,2846642,2645361,2702296,3009543,2172440,1774257,1391069,1792698,1597580,1658804,2903588,3608292,2404815,2755978,2475789,1915125,1612497,2031111,1290015,2279733,2990627,2859304,2127918,1773431,1787058,1883562,1321460,3084766,1767463,1863925,2641266,2627413,1675802,2340291,2259377,1393968,1423259,1483199,1520595,1618798,1669576,1907332,1744845,1889959,1822268,2343716,2055985,2311331,2225269,2093323,2686621,1893893,1663399,2149239,634747,893422,1084772,1249229
76,2101902,1813806,2036848,1941908,1789038,1979019,2127191,1870718,1849554,1671180,1892315,1787086,2467970,1476381,1348476,1565009,1538654,1270652,1516298,1488757,1617099,1494156,1424113,2631135,2903209,2707303,3114705,2525563,2905500,2890549,2689869,2741299,3072505,2199457,1805747,1418175,1832656,1632143,1691182,3007132,3723730,2497761,2830482,2517314,1959530,1635073,2064375,1318102,2311676,3062486,2892016,2172648,1807399,1818010,1923236,1342991,3165425,1805837,1893491,2708814,2696752,1705264,2377451,2289144,1422161,1453177,1508189,1553181,1644022,1709414,1947229,1774574,1918619,1845998,2389413,2088567,2342982,2285613,2134411,2758355,1926620,1690093,2196828,648427,911436,1105813,1270430
77,2145345,1846241,2071473,1990253,1810960,2008627,2188656,1903617,1888080,1706042,1937034,1818389,2506246,1496497,1366161,1582428,1563401,1286853,1534045,1508714,1645619,1513925,1442617,2668269,2951645,2769977,3164689,2566766,2950268,2931304,2752599,2778545,3129296,2230005,1849820,1441077,1872207,1664702,1726589,3103601,3876839,2603806,2910450,2564116,2015084,1666835,2101010,1347807,2365803,3165437,2934597,2223632,1844265,1843459,1963193,1363009,3256315,1844528,1924605,2743886,2756654,1739466,2419464,2350400,1457795,1479880,1531903,1587521,1694039,1750082,1981525,1813120,1940424,1869560,2441681,2123727,2368304,2323898,2174171,2819659,1959892,1734860,2250088,663782,928203,1127316,1291596
78,2190832,1875633,2121862,2023018,1843994,2054039,2248102,1947496,1929116,1747635,1972560,1844033,2540683,1517834,1385430,1611548,1583214,1309104,1558531,1526873,1665846,1535846,1465003,2717255,2989981,2839215,3234488,2601967,2986406,2977261,2796739,2822133,3180279,2262089,1888708,1473703,1912464,1686418,1757916,3226076,3999798,2689772,2998088,2610454,2049619,1700715,2146914,1374140,2407984,3250636,2980891,2274545,1881272,1878532,2006494,1384239,3358616,1890295,1954439,2780208,2821827,1777873,2468046,2390439,1485470,1506640,1554923,1614249,1741807,1779386,2011682,1841058,1966795,1894828,2494210,2164086,2402513,2377875,2217654,2892098,1992972,1778370,2313061,677873,944994,1147757,1313295
79,2241456,1913652,2153403,2064006,1885383,2086492,2316220,1983600,1966498,1778942,2009194,1876012,2573675,1542892,1401339,1629391,1606926,1328680,1585635,1549972,1682989,1561289,1484524,2765044,3020912,2947936,3298984,2646624,3017226,3017474,2843685,2861710,3247213,2291147,1936460,1502048,1952700,1730715,1799934,3339636,4119506,2788246,3103900,2672304,2100123,1741364,2204634,1390442,2441046,3341733,3054706,2336394,1921486,1906738,2054691,1405275,3441791,1921647,1995042,2844659,2892063,1816414,2508484,2438860,1520384,1536942,1593697,1642815,1772727,1822917,2052680,1886801,1996985,1922763,2557353,2211826,2450523,2431336,2269304,2959406,2023028,1833143,2378780,691457,964056,1168548,1338733
80,2290139,1950339,2210960,2106897,1919172,2122756,2385923,2022134,2009045,1817819,2047842,1895174,2616098,1566347,1419118,1650299,1633315,1350235,1608904,1568751,1717227,1576445,1505604,2822014,3060896,3056119,3358549,2692000,3055151,3054752,2892966,2905306,3317040,2330483,1972915,1533084,1996505,1768931,1843437,3472285,4290544,2883879,3233301,2739176,2132688,1777431,2269719,1414767,2496986,3470104,3107521,2402211,1964010,1938447,2110773,1428044,3553991,1956125,2028954,2892434,2966255,1856413,2551072,2489361,1551095,1565593,1638505,1672790,1832281,1873508,2086268,1918466,2026314,1951190,2605521,2271593,2499205,2492793,2328887,3045698,2063688,1884943,2451934,707255,979609,1193242,1364342
81,2344348,1993299,2281087,2162086,1958397,2158521,2441280,2067981,2049291,1881448,2112494,1939237,2656384,1594256,1438651,1669280,1660213,1365973,1634617,1584812,1754321,1596080,1528648,2872598,3098216,3117587,3434510,2744606,3099957,3097724,2951670,2950117,3402607,2379388,2013915,1567127,2043769,1803158,1878926,3617724,4503917,3025533,3373778,2798072,2175684,1819295,2334772,1440232,2547903,3591582,3172237,2457780,2005629,1976183,2152825,1458807,3696078,2005649,2073528,2965527,3038855,1897795,2588735,2540838,1582718,1599472,1679879,1709584,1893586,1907481,2133507,1959440,2057363,1982024,2667719,2330768,2545694,2555476,2383808,3144863,2111143,1934631,2511864,724270,999146,1219228,1388617
82,2401503,2035954,2347407,2205707,2004544,2200144,2521059,2107908,2082627,1921958,2155512,1984550,2698621,1620419,1461748,1700365,1689478,1383823,1656700,1599601,1790866,1626098,1545700,2927026,3151849,3214723,3496670,2779571,3145546,3146862,2992409,3003941,3486421,2424718,2055889,1602593,2096842,1829470,1922557,3794517,4736066,3152906,3505981,2880731,2273130,1861324,2419364,1470245,2599023,3789309,3246157,2529011,2045330,2019246,2204219,1484291,3826639,2042451,2111737,3034914,3132043,1936987,2619199,2584829,1618786,1633160,1722840,1748018,1943247,1949419,2179438,1995456,2090185,2008911,2742878,2389320,2600389,2613248,2446115,3239823,2161830,1978503,2589643,742871,1020776,1247020,1416083
83,2460260,2084814,2399216,2252841,2038235,2247886,2623261,2160378,2138247,1963417,2209048,2021934,2745606,1644105,1482666,1723928,1717652,1400939,1678707,1622795,1842643,1653793,1565218,2973566,3202512,3301609,3588175,2825471,3196308,3205465,3070264,3053464,3589182,2473498,2110310,1635788,2149438,1865695,1968076,4016482,4932350,3293128,3676501,2956190,2336542,1913205,2510986,1491360,2654017,3982326,3323110,2609701,2092298,2057866,2264233,1513931,3981065,2096637,2145381,3193843,3236299,1982734,2697402,2632269,1656611,1682822,1758812,1795414,1976292,2004045,2230231,2040254,2125366,2047945,2818034,2444868,2646402,2698581,2523060,3343282,2216334,2028692,2673431,759854,1042933,1276281,1442768
84,2527718,2137950,2453364,2330583,2082682,2297558,2717381,2224222,2204564,2018386,2265542,2046928,2798121,1674221,1508191,1754872,1752918,1422732,1717399,1638342,1872714,1681283,1590214,3036301,3258910,3408430,3675420,2866884,3248264,3268546,3136093,3113602,3691609,2522689,2161604,1671099,2212665,1908880,2029366,4264157,5106232,3471752,3804383,3016338,2386144,1958519,2599668,1526829,2701509,4188492,3388038,2691622,2150921,2102125,2325882,1538529,4218330,2163857,2201806,3302845,3356874,2030160,2817121,2682628,1690639,1730357,1802279,1846556,2028272,2079172,2279116,2082803,2156628,2085939,2897445,2510804,2714809,2766810,2587534,3457490,2266684,2085504,2769823,776944,1069802,1306704,1474104
